Gene	Stage1	Stage2	Stage3	Stage4	Stage5	Stage6	Group
Gene114	1.3970842	1.1589862	-0.6607117	-0.83463997	-0.46260878	-0.59811	group1
Gene115	1.398357	1.1590679	-0.6524017	-0.8291649	-0.46980697	-0.6060513	group1
Gene116	1.4000447	1.1569483	-0.6474708	-0.8311128	-0.46886548	-0.609544	group1
Gene117	1.403082	1.1650355	-0.55523294	-0.7403503	-0.57310265	-0.69943154	group1
Gene118	1.4053322	1.1616769	-0.53757703	-0.7340333	-0.5816478	-0.71375084	group1
Gene119	1.4075079	1.1584809	-0.53681576	-0.7422984	-0.57400256	-0.712872	group1
Gene120	1.4074665	1.1585569	-0.54244286	-0.7470915	-0.5686689	-0.70782024	group1
Gene121	1.4086319	1.1566133	-0.55029815	-0.7592413	-0.5559928	-0.69971305	group1
Gene122	1.4022853	1.1658999	-0.56882954	-0.74965525	-0.56220853	-0.68749183	group1
Gene123	1.4027882	1.164755	-0.575839	-0.758631	-0.5525654	-0.68050784	group1
Gene124	1.4040787	1.1629133	-0.5721241	-0.7605478	-0.5513434	-0.68297666	group1
Gene125	1.4059657	1.1604031	-0.56242156	-0.7592514	-0.5541193	-0.6905766	group1
Gene126	1.4081824	1.15694	-0.51706874	-0.7285022	-0.5896731	-0.7298783	group1
Gene127	1.4070451	1.1588145	-0.52325475	-0.7289652	-0.5883999	-0.72523975	group1
Gene128	1.4093887	1.1546218	-0.505751	-0.7243585	-0.5950249	-0.7388761	group1
Gene129	1.4109206	1.1526076	-0.5080877	-0.73232144	-0.5872994	-0.73581964	group1
Gene130	1.4049288	1.1606276	-0.5060422	-0.7072235	-0.61083865	-0.7414521	group1
Gene131	1.4042227	1.1614634	-0.50511163	-0.7038416	-0.61406803	-0.74266475	group1
Gene132	1.4044164	1.1611903	-0.50483185	-0.70436996	-0.6136187	-0.7427862	group1
Gene133	1.3992923	1.1700491	-0.538521	-0.71090704	-0.6030076	-0.7169059	group1
Gene134	1.3987676	1.1699234	-0.5244892	-0.6978428	-0.6169922	-0.7293667	group1
Gene135	1.3856144	1.1764356	-0.46582356	-0.6136862	-0.69939375	-0.7831464	group1
Gene136	1.3844993	1.1828841	-0.497811	-0.6292384	-0.6820307	-0.7583034	group1
Gene137	1.3921566	1.1761872	-0.5080486	-0.66199666	-0.6516552	-0.7466433	group1
Gene138	1.394763	1.1726301	-0.5027117	-0.66751015	-0.6473903	-0.749781	group1
Gene139	1.393569	1.1718082	-0.48641422	-0.65255904	-0.6627815	-0.7636226	group1
Gene140	1.3911982	1.1758773	-0.49730563	-0.6514709	-0.6624217	-0.75587726	group1
Gene141	1.4026723	1.1612208	-0.4844382	-0.6834509	-0.6352427	-0.76076126	group1
Gene142	1.4014874	1.1619459	-0.47921523	-0.6756877	-0.6428854	-0.76564497	group1
Gene143	1.3985945	1.1660153	-0.48475206	-0.6690178	-0.6482444	-0.7625955	group1
Gene144	1.4097576	1.1523285	-0.48415676	-0.70972353	-0.6112557	-0.75695014	group1
Gene145	1.4111148	1.1494955	-0.47423914	-0.7079426	-0.6140574	-0.7643711	group1
Gene146	1.4092345	1.1524467	-0.47889745	-0.7040228	-0.61712056	-0.7616403	group1
Gene147	1.408572	1.1526227	-0.4732267	-0.697636	-0.62362945	-0.7667025	group1
Gene148	1.4100959	1.1485573	-0.45684376	-0.69249654	-0.63013625	-0.77917665	group1
Gene149	1.4057903	1.1551884	-0.46687657	-0.683176	-0.63751584	-0.7734104	group1
Gene150	1.4099807	1.145001	-0.43359017	-0.6777768	-0.6458677	-0.797747	group1
Gene151	1.4048954	1.1538546	-0.45124218	-0.67016596	-0.65095526	-0.78638655	group1
Gene152	1.4093403	1.1408108	-0.40789798	-0.66114086	-0.6631738	-0.81793845	group1
Gene153	1.408223	1.1415639	-0.40565544	-0.6560808	-0.66788703	-0.82016367	group1
Gene154	1.4057665	1.1444759	-0.406952	-0.64832723	-0.6746804	-0.82028276	group1
Gene155	1.4075999	1.1407496	-0.39880294	-0.65040255	-0.6735168	-0.8256273	group1
Gene156	1.4060912	1.146659	-0.4191151	-0.6558963	-0.6668721	-0.8108667	group1
Gene157	1.4065961	1.1470139	-0.4237041	-0.6601644	-0.662639	-0.8071023	group1
Gene158	1.4040135	1.1494488	-0.42187092	-0.6502508	-0.6716504	-0.8096902	group1
Gene159	1.4015669	1.1540871	-0.43218127	-0.6475529	-0.6730803	-0.80283934	group1
Gene160	1.402438	1.1547096	-0.44042382	-0.65518767	-0.66547865	-0.7960575	group1
Gene161	1.398855	1.159485	-0.4456081	-0.6458954	-0.6732232	-0.7936134	group1
Gene162	1.3972269	1.159578	-0.4372523	-0.63572806	-0.6830533	-0.8007711	group1
Gene163	1.3967769	1.1607612	-0.44097093	-0.636283	-0.6821957	-0.79808855	group1
Gene164	1.3976566	1.1580337	-0.4316954	-0.63412803	-0.685003	-0.8048638	group1
Gene165	1.3998849	1.1542892	-0.4244635	-0.6376784	-0.682553	-0.8094793	group1
Gene166	1.380968	1.1006024	-0.20385171	-0.5036845	-0.8071732	-0.9668609	group1
Gene167	1.3815353	1.1019775	-0.20827764	-0.5061629	-0.80511045	-0.9639619	group1
Gene168	1.3759165	1.1179479	-0.23947158	-0.49753487	-0.81178236	-0.94507563	group1
Gene169	1.3722249	1.1183054	-0.23400436	-0.4861813	-0.82113606	-0.9492086	group1
Gene170	1.3785546	1.1093873	-0.22187778	-0.50078905	-0.8093933	-0.95588183	group1
Gene171	1.3768836	1.1104611	-0.22172908	-0.49615225	-0.81319004	-0.9562734	group1
Gene172	1.3757823	1.1106583	-0.22034916	-0.49283293	-0.81591725	-0.9573412	group1
Gene173	1.3832157	1.1081284	-0.22700273	-0.5149289	-0.79769397	-0.95171857	group1
Gene174	1.3802166	1.1119021	-0.23133804	-0.50753	-0.80372757	-0.94952303	group1
Gene175	1.3750507	1.1261795	-0.25996053	-0.5002409	-0.8090963	-0.93193245	group1
Gene176	1.3793505	1.1225382	-0.258111	-0.5116946	-0.79974043	-0.93234265	group1
Gene177	1.3843164	1.1122732	-0.23996806	-0.521094	-0.79238266	-0.94314486	group1
Gene178	1.3879911	1.1082666	-0.23648304	-0.530724	-0.78444564	-0.94460505	group1
Gene179	1.3891958	1.1246239	-0.28451526	-0.54726034	-0.7693388	-0.91270536	group1
Gene180	1.386448	1.1174343	-0.2581795	-0.5318182	-0.7830677	-0.9308169	group1
Gene181	1.3863785	1.1230025	-0.27362838	-0.53588164	-0.7792347	-0.92063636	group1
Gene182	1.3891563	1.1191477	-0.26868492	-0.5425271	-0.77382904	-0.92326295	group1
Gene183	1.386617	1.1564834	-0.38205054	-0.57513356	-0.74035966	-0.8455566	group1
Gene184	1.3922989	1.1516403	-0.3823021	-0.59271294	-0.72528636	-0.84363776	group1
Gene185	1.3934458	1.1494904	-0.37797868	-0.594388	-0.7241649	-0.8464046	group1
Gene186	1.3891852	1.1556807	-0.38734463	-0.5853017	-0.7312672	-0.8409524	group1
Gene187	1.3896419	1.1575028	-0.39606947	-0.5906504	-0.72598684	-0.834438	group1
Gene188	1.3921269	1.1417227	-0.34583813	-0.5770693	-0.74115944	-0.8697827	group1
Gene189	1.395899	1.1410377	-0.3548769	-0.59227854	-0.7275651	-0.8622161	group1
Gene190	1.3938656	1.1423202	-0.35309353	-0.5852569	-0.7337093	-0.86412597	group1
Gene191	1.4018632	1.130633	-0.33728114	-0.60399586	-0.71850514	-0.8727139	group1
Gene192	1.4035618	1.1296484	-0.33935383	-0.61022997	-0.7129759	-0.87065053	group1
Gene193	1.4033148	1.1325225	-0.34873393	-0.6132369	-0.7098037	-0.8640627	group1
Gene194	1.4007777	1.1400738	-0.36778906	-0.613166	-0.7086257	-0.8512708	group1
Gene195	1.3976259	1.1425295	-0.3659871	-0.6023355	-0.7181516	-0.85368127	group1
Gene196	1.4047444	1.1336308	-0.35784483	-0.62170243	-0.70183927	-0.8569886	group1
Gene197	1.405077	1.1330872	-0.3570237	-0.6224352	-0.701251	-0.85745424	group1
Gene198	1.3886956	1.1654656	-0.42613584	-0.6021791	-0.7134257	-0.8124205	group1
Gene199	1.4021873	1.1436989	-0.38755396	-0.6267414	-0.69531465	-0.8362763	group1
Gene200	1.4009815	1.1462516	-0.39324364	-0.62549525	-0.6959619	-0.83253235	group1
Gene201	1.4064615	1.1368998	-0.37724417	-0.6360536	-0.6878946	-0.8421689	group1
Gene202	1.4067172	1.1364107	-0.37631443	-0.63647425	-0.687591	-0.84274805	group1
Gene203	1.4066168	1.1387601	-0.38561222	-0.64053965	-0.68330795	-0.835917	group1
Gene204	1.4044645	1.1421117	-0.39046836	-0.6356765	-0.68722755	-0.8332038	group1
Gene205	1.4051766	1.141474	-0.39084962	-0.6382421	-0.6849331	-0.8326258	group1
Gene206	1.3976536	1.1503282	-0.39680508	-0.61636657	-0.7036595	-0.83115053	group1
Gene207	1.3951067	1.153951	-0.4018863	-0.61060876	-0.70825624	-0.8283065	group1
Gene208	1.3964648	1.1548251	-0.4112312	-0.6195682	-0.6996511	-0.82083946	group1
Gene209	1.3999094	1.1506895	-0.40786213	-0.6291543	-0.6915423	-0.82204014	group1
Gene210	1.3922031	1.1297666	-0.3071736	-0.5633571	-0.754847	-0.89659196	group1
Gene211	1.3935505	1.1296159	-0.31014833	-0.568404	-0.7504305	-0.8941834	group1
Gene212	1.3958038	1.1250701	-0.30185616	-0.5724244	-0.74737746	-0.8992159	group1
Gene213	1.3967999	1.1256553	-0.3062813	-0.5769378	-0.7433373	-0.89589876	group1
Gene214	1.396271	1.1292057	-0.31608242	-0.5787113	-0.74136996	-0.889313	group1
Gene215	1.400297	1.1272364	-0.32107592	-0.5929356	-0.72892284	-0.8845991	group1
Gene216	1.3876295	1.1434826	-0.33923298	-0.5610212	-0.7551817	-0.87567616	group1
Gene217	1.3863796	1.1427773	-0.33362454	-0.5552588	-0.76036465	-0.87990886	group1
Gene218	1.3861758	1.1431178	-0.33420777	-0.5548683	-0.7606614	-0.8795561	group1
Gene219	1.3803431	1.1472771	-0.3330983	-0.5374571	-0.77532583	-0.88173896	group1
Gene220	1.3824842	1.1427174	-0.3237493	-0.5403851	-0.7733811	-0.887686	group1
Gene221	1.385906	1.1374614	-0.31551534	-0.54753774	-0.7678003	-0.892514	group1
Gene222	1.3836422	1.1376251	-0.31065995	-0.5393377	-0.77489936	-0.8963703	group1
Gene223	1.3805965	1.1415691	-0.31576368	-0.5322543	-0.7805647	-0.89358294	group1
Gene224	1.3150966	1.022708	0.03490589	-0.32002202	-0.94210774	-1.1105808	group1
Gene225	1.3152316	1.0269567	0.026823219	-0.32013786	-0.94265395	-1.1062195	group1
Gene226	1.3070935	1.0346402	0.018497631	-0.3013836	-0.95722765	-1.1016202	group1
Gene227	1.3051338	1.0242423	0.039541535	-0.29737872	-0.9585705	-1.1129684	group1
Gene228	1.3238281	1.0366505	0.001332507	-0.3398877	-0.9296542	-1.0922693	group1
Gene229	1.3227799	1.0331191	0.008999376	-0.33745587	-0.9309585	-1.096484	group1
Gene230	1.3242106	1.0419385	-0.009240629	-0.3408295	-0.9296406	-1.0864384	group1
Gene231	1.330921	1.0412744	-0.013848774	-0.35676655	-0.91784114	-1.083739	group1
Gene232	1.3092471	1.0554323	-0.023500126	-0.3065001	-0.9561837	-1.0784955	group1
Gene233	1.3125695	1.0474128	-0.010333922	-0.31384706	-0.9499386	-1.0858626	group1
Gene234	1.3155981	1.0595629	-0.03682356	-0.3213906	-0.94585174	-1.0710951	group1
Gene235	1.3206722	1.055847	-0.033645667	-0.3330306	-0.9369645	-1.0728785	group1
Gene236	1.3189979	1.0533522	-0.027263027	-0.3289646	-0.93966013	-1.0764624	group1
Gene237	1.3199921	1.0508591	-0.023160134	-0.33117816	-0.93776244	-1.0787504	group1
Gene238	1.3473598	1.1281265	-0.22161694	-0.41869542	-0.87515604	-0.96001786	group1
Gene239	1.3402963	1.1159967	-0.18322715	-0.39412263	-0.8945331	-0.98441	group1
Gene240	1.3474444	1.1043034	-0.16439421	-0.4088376	-0.88303274	-0.99548334	group1
Gene241	1.3660659	1.1109656	-0.2055356	-0.46365723	-0.8396704	-0.9681683	group1
Gene242	1.357057	1.1144843	-0.20109889	-0.43931967	-0.85911185	-0.9720109	group1
Gene243	1.36708	1.1032056	-0.18809207	-0.46308205	-0.8401899	-0.9789215	group1
Gene244	1.363115	1.1071802	-0.19191112	-0.45333883	-0.84799135	-0.9770539	group1
Gene245	1.3612204	1.1050177	-0.18401697	-0.44701275	-0.8530381	-0.9821703	group1
Gene246	1.3600686	1.1046426	-0.18152155	-0.44360232	-0.85574675	-0.98384064	group1
Gene247	1.3751951	1.0962771	-0.18376398	-0.4840527	-0.82324064	-0.9804149	group1
Gene248	1.3721718	1.0953783	-0.17694812	-0.47471872	-0.8307848	-0.9850985	group1
Gene249	1.371284	1.0927247	-0.16933605	-0.4710902	-0.8336707	-0.9899118	group1
Gene250	1.3705941	1.0938519	-0.17097138	-0.46951059	-0.83495694	-0.9890072	group1
Gene251	1.3721519	1.0894139	-0.16285963	-0.4723961	-0.83255947	-0.9937506	group1
Gene252	1.3708149	1.0858524	-0.1526628	-0.4673113	-0.836542	-1.0001513	group1
Gene253	1.3678105	1.0921048	-0.16283761	-0.46084183	-0.8418657	-0.9943702	group1
Gene254	1.3462971	1.0907762	-0.13232638	-0.40170765	-0.88814515	-1.0148941	group1
Gene255	1.3520743	1.0807489	-0.11691079	-0.4144138	-0.8778743	-1.0236243	group1
Gene256	1.3561705	1.0789824	-0.11793609	-0.4248854	-0.8696709	-1.0226605	group1
Gene257	1.3616468	1.0795468	-0.1260089	-0.43982244	-0.858048	-1.0173142	group1
Gene258	1.3653938	1.080452	-0.13291965	-0.45038524	-0.8497839	-1.0127568	group1
Gene259	1.355412	1.098919	-0.16187687	-0.42853722	-0.867562	-0.99635494	group1
Gene260	1.3565283	1.0990489	-0.16362277	-0.43164584	-0.8651241	-0.99518454	group1
Gene261	1.3574784	1.0984311	-0.16342942	-0.43404797	-0.8632236	-0.99520844	group1
Gene262	1.36055	1.0891484	-0.14612868	-0.4394893	-0.8587018	-1.0053786	group1
Gene263	1.3589782	1.0936658	-0.15439074	-0.43657857	-0.8611251	-1.0005496	group1
Gene264	1.3579713	1.0935761	-0.15287428	-0.43377978	-0.863322	-1.0015713	group1
Gene265	1.3576123	1.0943897	-0.1542747	-0.4330567	-0.86391145	-1.000759	group1
Gene266	1.3623466	1.0921589	-0.15539703	-0.4454273	-0.8541091	-0.99957216	group1
Gene267	1.3644767	1.0884573	-0.14978607	-0.45018435	-0.85024166	-1.002722	group1
Gene268	1.3639835	1.0868102	-0.14536618	-0.4482948	-0.8516824	-1.0054502	group1
Gene269	1.3670776	1.0878737	-0.15202378	-0.45731968	-0.8445646	-1.0010433	group1
Gene270	1.3652433	1.0900369	-0.15445626	-0.45284778	-0.8481768	-0.9997993	group1
Gene271	1.318992	1.1149074	-0.15791115	-0.33951956	-0.93601185	-1.0004569	group1
Gene272	1.3219541	1.0951858	-0.116766825	-0.34149772	-0.93386346	-1.0250119	group1
Gene273	1.3346791	1.0719049	-0.07929078	-0.36840615	-0.91227895	-1.0466081	group1
Gene274	1.3293052	1.0720487	-0.07440709	-0.35524854	-0.9221146	-1.0495837	group1
Gene275	1.3468425	1.0662549	-0.0800176	-0.39813656	-0.88937706	-1.0455662	group1
Gene276	1.3485281	1.0632197	-0.075504504	-0.40201792	-0.88617337	-1.0480521	group1
Gene277	1.342548	1.0750767	-0.09403765	-0.38862222	-0.89726716	-1.0376976	group1
Gene278	1.3482288	1.0720501	-0.09376458	-0.40262792	-0.88638717	-1.0374992	group1
Gene279	1.2408837	1.0198112	0.08480742	-0.16222337	-1.0508296	-1.1324493	group1
Gene280	1.2822491	1.0392214	0.026741145	-0.24656641	-0.9965541	-1.1050911	group1
Gene281	1.2960156	1.0197759	0.054227486	-0.27743557	-0.9720062	-1.1205772	group1
Gene282	1.2958746	1.0062346	0.07905981	-0.27835172	-0.9690977	-1.1337197	group1
Gene283	1.2916069	1.0102526	0.074593276	-0.2686253	-0.9766186	-1.1312089	group1
Gene284	1.2812272	1.0093039	0.082809225	-0.24638833	-0.99193835	-1.1350137	group1
Gene285	1.2902988	0.99982387	0.09422033	-0.26696992	-0.97593206	-1.141441	group1
Gene286	1.2844267	0.9973694	0.102266535	-0.25465646	-0.984053	-1.1453531	group1
Gene287	1.2843761	0.9967949	0.10331813	-0.25462598	-0.983967	-1.1458961	group1
Gene288	1.2667606	1.0011309	0.10573621	-0.2169368	-1.0106887	-1.1460023	group1
Gene289	1.2655821	1.0197293	0.072764315	-0.21248148	-1.0170099	-1.1285843	group1
Gene290	1.2465712	0.9805865	0.15187362	-0.17892541	-1.0322399	-1.167866	group1
Gene291	1.2438521	0.9849441	0.14556862	-0.17272101	-1.0372748	-1.164369	group1
Gene292	1.258674	0.9780309	0.15042593	-0.20390624	-1.0149478	-1.1682769	group1
Gene293	1.2665023	0.9841108	0.13583244	-0.2189482	-1.0060091	-1.1614883	group1
Gene294	1.234202	0.9484616	0.21167193	-0.16109498	-1.0368477	-1.196393	group1
